match_name,match_level,match_date,shooter,div,class,power_factor,cat,stg,factor,pts,a,c,d,ded,mi,ns,pe,ot,time
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 7,3.632,60,12,0,0,0,0,0,0,,16.52
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 6,5.0744,58,11,1,0,0,0,0,0,,11.43
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 5,3.6891,56,10,2,0,0,0,0,0,,15.18
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 4,4.0282,120,24,0,0,0,0,0,0,,29.79
2025_MA5_2,2,2025-02-23,"DE ANGELIS, GIUSEPPE",P,C,Minor,,Stage 3,5.4861,158,31,1,0,0,0,0,0,,28.8
2025_MA5_2,2,2025-02-23,"BALZANI, ALESSANDRO",S,B,Major,S,Stage 6,6.028,56,10,1,1,0,0,0,0,,9.29
2025_MA5_2,2,2025-02-23,"PORREGA, MARCO",P,D,Minor,SS,Stage 4,3.7363,102,16,7,1,0,0,0,0,,27.3
2025_MA5_2,2,2025-02-23,"PORREGA, MARCO",P,D,Minor,SS,Stage 5,1.9871,37,8,2,1,0,1,0,0,,18.62
2025_MA5_2,2,2025-02-23,"PORREGA, MARCO",P,D,Minor,SS,Stage 6,1.3524,18,5,4,1,0,2,0,0,,13.31
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 7,2.3885,60,12,0,0,0,0,0,0,,25.12
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 6,2.7539,48,7,4,1,0,0,0,0,,17.43
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 5,1.958,56,10,2,0,0,0,0,0,,28.6
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 4,3.7238,110,21,1,2,0,0,0,0,,29.54
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 3,4.3515,156,30,2,0,0,0,0,0,,35.85
2025_MA5_2,2,2025-02-23,"FARNETANI, EUGENIO",S,C,Minor,GS,Stage 2,0.8135,37,9,0,2,0,1,0,0,,45.48
